loss,params,time
-0.4901185770750988,"{'activation': 'sigmoid', 'batch_size': 512, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 512, 'units4': 256}",147.71920690000115
-0.43873517786561267,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 512, 'units4': 64}",277.6713206000022
-0.4901185770750988,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.1, 'nb_epochs': 50, 'optimizer': 'adadelta', 'units1': 64, 'units2': 64, 'units3': 512, 'units4': 256}",222.4652789000029
-0.47035573122529645,"{'activation': 'sigmoid', 'batch_size': 128, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 128, 'units3': 256, 'units4': 256}",659.9338035000001
-0.48616600790513836,"{'activation': 'sigmoid', 'batch_size': 512, 'dropout1': 0.1, 'dropout2': 0.4, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 64, 'units2': 256, 'units3': 512, 'units4': 64}",109.29699900000196
-0.4901185770750988,"{'activation': 'relu', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.3, 'nb_epochs': 100, 'optimizer': 'adadelta', 'units1': 256, 'units2': 64, 'units3': 32, 'units4': 512}",1009.8121413000008
-0.45454545454545453,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 8, 'units4': 256}",397.4968162999976
-0.4901185770750988,"{'activation': 'sigmoid', 'batch_size': 128, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adadelta', 'units1': 64, 'units2': 8, 'units3': 512, 'units4': 256}",365.83016119999957
-0.5059288537549407,"{'activation': 'relu', 'batch_size': 256, 'dropout1': 0.1, 'dropout2': 0.1, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 256, 'units2': 128, 'units3': 16, 'units4': 512}",931.767118900003
-0.45849802371541504,"{'activation': 'sigmoid', 'batch_size': 512, 'dropout1': 0.4, 'dropout2': 0.4, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 128, 'units2': 64, 'units3': 32, 'units4': 64}",108.6079286000022
