Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.9099999999999999,0.61,0.24105885948209224
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.24183085691146694
100% Corpus,9,0.9099999999999999,symmetric,0.23878095217462483
100% Corpus,9,symmetric,0.01,0.23430939385906072
100% Corpus,9,symmetric,0.31,0.23344276689759325
100% Corpus,9,symmetric,0.61,0.23632075890611873
100% Corpus,9,symmetric,0.9099999999999999,0.2580211188195987
100% Corpus,9,symmetric,symmetric,0.23425149038057608
100% Corpus,9,asymmetric,0.01,0.23310259480293313
100% Corpus,9,asymmetric,0.31,0.23516752128961324
100% Corpus,9,asymmetric,0.61,0.25905762706995816
100% Corpus,9,asymmetric,0.9099999999999999,0.24515742808209767
100% Corpus,9,asymmetric,symmetric,0.23154689479735172
